* DMS Fastgraph population variation export
* Rig: B&K 5128
* Dataset: ARI + AXD/SONICOM + SoundSphere2
* Measurement Type: blocked-ear-canal in-ear HRTF SOFA data
* Population Units: 749 listeners, one bilateral diffuse-field curve per listener
* Database Counts: ARI=263; AXD/SONICOM=408; SoundSphere2=78
* Weighting: equal listener weighting; all available directions and both receivers averaged per listener
* EQ Applied: No
* Channel Side: bilateral
* Export Type: Variation Band
* Export Date: 2026-07-29 14:48:15
* Compensated: Yes
* HRTF Files: 5128 canal approximation.txt; 5128 DF.txt
* Canal Correction: above 1 kHz, blocked-canal response + 5128 canal transfer function; below 1 kHz, smoothly transitioned to aligned 5128 DF line; 16-20 kHz high-frequency slope blended toward aligned 5128 DF
* Listener Normalization: 0 dB at 1 kHz before canal correction
* Variation Sweeps: 749 listener curves
* Smoothing: 1/48 octave
* Percentiles: p10/p25/median/p75/p90 across listeners
* Normalization: Fastgraph 1 kHz normalization above transition; DF line aligned to the 1 kHz median
* Points: log-spaced
*
* Low-Frequency Reference: 5128 DF.txt
* DF Transition: smooth log-frequency blend; original VAR at 1 kHz, single DF line at 500 Hz and below
* DF Alignment: DF curve offset to match the original population median at 1 kHz
* High-Frequency Treatment: smooth 16-17 kHz handoff, then 5128 DF slope through 20 kHz
* High-Frequency Alignment: DF curve aligned to the measured median at 16 kHz; 16 kHz percentile offsets held through 20 kHz
* Frequency(Hz)	P10(dB)	P25(dB)	Median(dB)	P75(dB)	P90(dB)
122.0913	-1.988454	-1.988454	-1.988454	-1.988454	-1.988454
122.7967	-1.986858	-1.986858	-1.986858	-1.986858	-1.986858
123.5062	-1.985261	-1.985261	-1.985261	-1.985261	-1.985261
124.2198	-1.983665	-1.983665	-1.983665	-1.983665	-1.983665
124.9376	-1.981330	-1.981330	-1.981330	-1.981330	-1.981330
125.6594	-1.979475	-1.979475	-1.979475	-1.979475	-1.979475
126.3855	-1.977542	-1.977542	-1.977542	-1.977542	-1.977542
127.1157	-1.975282	-1.975282	-1.975282	-1.975282	-1.975282
127.8502	-1.973686	-1.973686	-1.973686	-1.973686	-1.973686
128.5889	-1.971361	-1.971361	-1.971361	-1.971361	-1.971361
129.3319	-1.968967	-1.968967	-1.968967	-1.968967	-1.968967
130.0791	-1.966574	-1.966574	-1.966574	-1.966574	-1.966574
130.8307	-1.964179	-1.964179	-1.964179	-1.964179	-1.964179
131.5866	-1.961784	-1.961784	-1.961784	-1.961784	-1.961784
132.3469	-1.959392	-1.959392	-1.959392	-1.959392	-1.959392
133.1116	-1.956999	-1.956999	-1.956999	-1.956999	-1.956999
133.8807	-1.954289	-1.954289	-1.954289	-1.954289	-1.954289
134.6543	-1.951209	-1.951209	-1.951209	-1.951209	-1.951209
135.4323	-1.948815	-1.948815	-1.948815	-1.948815	-1.948815
136.2148	-1.945714	-1.945714	-1.945714	-1.945714	-1.945714
137.0018	-1.943030	-1.943030	-1.943030	-1.943030	-1.943030
137.7934	-1.940331	-1.940331	-1.940331	-1.940331	-1.940331
138.5896	-1.937240	-1.937240	-1.937240	-1.937240	-1.937240
139.3903	-1.934847	-1.934847	-1.934847	-1.934847	-1.934847
140.1957	-1.931755	-1.931755	-1.931755	-1.931755	-1.931755
141.0058	-1.928564	-1.928564	-1.928564	-1.928564	-1.928564
141.8205	-1.925667	-1.925667	-1.925667	-1.925667	-1.925667
142.6399	-1.923178	-1.923178	-1.923178	-1.923178	-1.923178
143.4641	-1.919987	-1.919987	-1.919987	-1.919987	-1.919987
144.2930	-1.916797	-1.916797	-1.916797	-1.916797	-1.916797
145.1267	-1.913606	-1.913606	-1.913606	-1.913606	-1.913606
145.9652	-1.910698	-1.910698	-1.910698	-1.910698	-1.910698
146.8086	-1.908220	-1.908220	-1.908220	-1.908220	-1.908220
147.6568	-1.905029	-1.905029	-1.905029	-1.905029	-1.905029
148.5100	-1.901838	-1.901838	-1.901838	-1.901838	-1.901838
149.3680	-1.898647	-1.898647	-1.898647	-1.898647	-1.898647
150.2311	-1.895455	-1.895455	-1.895455	-1.895455	-1.895455
151.0991	-1.892261	-1.892261	-1.892261	-1.892261	-1.892261
151.9721	-1.889070	-1.889070	-1.889070	-1.889070	-1.889070
152.8502	-1.886548	-1.886548	-1.886548	-1.886548	-1.886548
153.7334	-1.883688	-1.883688	-1.883688	-1.883688	-1.883688
154.6216	-1.880496	-1.880496	-1.880496	-1.880496	-1.880496
155.5150	-1.877240	-1.877240	-1.877240	-1.877240	-1.877240
156.4135	-1.873252	-1.873252	-1.873252	-1.873252	-1.873252
157.3173	-1.869921	-1.869921	-1.869921	-1.869921	-1.869921
158.2263	-1.866730	-1.866730	-1.866730	-1.866730	-1.866730
159.1405	-1.863537	-1.863537	-1.863537	-1.863537	-1.863537
160.0600	-1.860344	-1.860344	-1.860344	-1.860344	-1.860344
160.9848	-1.857153	-1.857153	-1.857153	-1.857153	-1.857153
161.9149	-1.853316	-1.853316	-1.853316	-1.853316	-1.853316
162.8504	-1.849772	-1.849772	-1.849772	-1.849772	-1.849772
163.7914	-1.846336	-1.846336	-1.846336	-1.846336	-1.846336
164.7378	-1.842385	-1.842385	-1.842385	-1.842385	-1.842385
165.6896	-1.839195	-1.839195	-1.839195	-1.839195	-1.839195
166.6469	-1.835368	-1.835368	-1.835368	-1.835368	-1.835368
167.6098	-1.831813	-1.831813	-1.831813	-1.831813	-1.831813
168.5782	-1.828388	-1.828388	-1.828388	-1.828388	-1.828388
169.5522	-1.824395	-1.824395	-1.824395	-1.824395	-1.824395
170.5319	-1.820408	-1.820408	-1.820408	-1.820408	-1.820408
171.5172	-1.816420	-1.816420	-1.816420	-1.816420	-1.816420
172.5082	-1.812430	-1.812430	-1.812430	-1.812430	-1.812430
173.5050	-1.808439	-1.808439	-1.808439	-1.808439	-1.808439
174.5075	-1.804447	-1.804447	-1.804447	-1.804447	-1.804447
175.5157	-1.800460	-1.800460	-1.800460	-1.800460	-1.800460
176.5299	-1.796471	-1.796471	-1.796471	-1.796471	-1.796471
177.5498	-1.792482	-1.792482	-1.792482	-1.792482	-1.792482
178.5757	-1.788279	-1.788279	-1.788279	-1.788279	-1.788279
179.6075	-1.783498	-1.783498	-1.783498	-1.783498	-1.783498
180.6452	-1.779512	-1.779512	-1.779512	-1.779512	-1.779512
181.6890	-1.775523	-1.775523	-1.775523	-1.775523	-1.775523
182.7388	-1.771130	-1.771130	-1.771130	-1.771130	-1.771130
183.7946	-1.766543	-1.766543	-1.766543	-1.766543	-1.766543
184.8565	-1.762550	-1.762550	-1.762550	-1.762550	-1.762550
185.9246	-1.757766	-1.757766	-1.757766	-1.757766	-1.757766
186.9989	-1.752980	-1.752980	-1.752980	-1.752980	-1.752980
188.0793	-1.748586	-1.748586	-1.748586	-1.748586	-1.748586
189.1660	-1.744403	-1.744403	-1.744403	-1.744403	-1.744403
190.2590	-1.739613	-1.739613	-1.739613	-1.739613	-1.739613
191.3583	-1.734828	-1.734828	-1.734828	-1.734828	-1.734828
192.4640	-1.730042	-1.730042	-1.730042	-1.730042	-1.730042
193.5760	-1.725255	-1.725255	-1.725255	-1.725255	-1.725255
194.6945	-1.720465	-1.720465	-1.720465	-1.720465	-1.720465
195.8194	-1.715675	-1.715675	-1.715675	-1.715675	-1.715675
196.9508	-1.710891	-1.710891	-1.710891	-1.710891	-1.710891
198.0888	-1.706104	-1.706104	-1.706104	-1.706104	-1.706104
199.2333	-1.701317	-1.701317	-1.701317	-1.701317	-1.701317
200.3845	-1.696527	-1.696527	-1.696527	-1.696527	-1.696527
201.5423	-1.691737	-1.691737	-1.691737	-1.691737	-1.691737
202.7067	-1.686187	-1.686187	-1.686187	-1.686187	-1.686187
203.8780	-1.681167	-1.681167	-1.681167	-1.681167	-1.681167
205.0559	-1.676379	-1.676379	-1.676379	-1.676379	-1.676379
206.2407	-1.671429	-1.671429	-1.671429	-1.671429	-1.671429
207.4324	-1.665841	-1.665841	-1.665841	-1.665841	-1.665841
208.6309	-1.660259	-1.660259	-1.660259	-1.660259	-1.660259
209.8363	-1.655229	-1.655229	-1.655229	-1.655229	-1.655229
211.0488	-1.650089	-1.650089	-1.650089	-1.650089	-1.650089
212.2682	-1.644501	-1.644501	-1.644501	-1.644501	-1.644501
213.4946	-1.638914	-1.638914	-1.638914	-1.638914	-1.638914
214.7282	-1.632586	-1.632586	-1.632586	-1.632586	-1.632586
215.9689	-1.626748	-1.626748	-1.626748	-1.626748	-1.626748
217.2167	-1.621162	-1.621162	-1.621162	-1.621162	-1.621162
218.4718	-1.615434	-1.615434	-1.615434	-1.615434	-1.615434
219.7341	-1.609049	-1.609049	-1.609049	-1.609049	-1.609049
221.0037	-1.602669	-1.602669	-1.602669	-1.602669	-1.602669
222.2806	-1.596820	-1.596820	-1.596820	-1.596820	-1.596820
223.5649	-1.590903	-1.590903	-1.590903	-1.590903	-1.590903
224.8566	-1.584388	-1.584388	-1.584388	-1.584388	-1.584388
226.1558	-1.577205	-1.577205	-1.577205	-1.577205	-1.577205
227.4625	-1.570753	-1.570753	-1.570753	-1.570753	-1.570753
228.7768	-1.564371	-1.564371	-1.564371	-1.564371	-1.564371
230.0986	-1.557666	-1.557666	-1.557666	-1.557666	-1.557666
231.4281	-1.550481	-1.550481	-1.550481	-1.550481	-1.550481
232.7653	-1.543298	-1.543298	-1.543298	-1.543298	-1.543298
234.1102	-1.536835	-1.536835	-1.536835	-1.536835	-1.536835
235.4629	-1.529941	-1.529941	-1.529941	-1.529941	-1.529941
236.8233	-1.522759	-1.522759	-1.522759	-1.522759	-1.522759
238.1917	-1.515573	-1.515573	-1.515573	-1.515573	-1.515573
239.5679	-1.508392	-1.508392	-1.508392	-1.508392	-1.508392
240.9521	-1.500511	-1.500511	-1.500511	-1.500511	-1.500511
242.3443	-1.493035	-1.493035	-1.493035	-1.493035	-1.493035
243.7446	-1.485852	-1.485852	-1.485852	-1.485852	-1.485852
245.1529	-1.478568	-1.478568	-1.478568	-1.478568	-1.478568
246.5693	-1.470590	-1.470590	-1.470590	-1.470590	-1.470590
247.9940	-1.463308	-1.463308	-1.463308	-1.463308	-1.463308
249.4269	-1.456128	-1.456128	-1.456128	-1.456128	-1.456128
250.8680	-1.448656	-1.448656	-1.448656	-1.448656	-1.448656
252.3175	-1.440760	-1.440760	-1.440760	-1.440760	-1.440760
253.7754	-1.433579	-1.433579	-1.433579	-1.433579	-1.433579
255.2417	-1.425718	-1.425718	-1.425718	-1.425718	-1.425718
256.7164	-1.417740	-1.417740	-1.417740	-1.417740	-1.417740
258.1997	-1.410038	-1.410038	-1.410038	-1.410038	-1.410038
259.6916	-1.402775	-1.402775	-1.402775	-1.402775	-1.402775
261.1920	-1.394797	-1.394797	-1.394797	-1.394797	-1.394797
262.7012	-1.386822	-1.386822	-1.386822	-1.386822	-1.386822
264.2190	-1.379314	-1.379314	-1.379314	-1.379314	-1.379314
265.7457	-1.371862	-1.371862	-1.371862	-1.371862	-1.371862
267.2811	-1.363878	-1.363878	-1.363878	-1.363878	-1.363878
268.8254	-1.355901	-1.355901	-1.355901	-1.355901	-1.355901
270.3787	-1.347925	-1.347925	-1.347925	-1.347925	-1.347925
271.9409	-1.339947	-1.339947	-1.339947	-1.339947	-1.339947
273.5121	-1.331708	-1.331708	-1.331708	-1.331708	-1.331708
275.0925	-1.322981	-1.322981	-1.322981	-1.322981	-1.322981
276.6819	-1.315005	-1.315005	-1.315005	-1.315005	-1.315005
278.2806	-1.306377	-1.306377	-1.306377	-1.306377	-1.306377
279.8884	-1.297601	-1.297601	-1.297601	-1.297601	-1.297601
281.5056	-1.288821	-1.288821	-1.288821	-1.288821	-1.288821
283.1321	-1.279992	-1.279992	-1.279992	-1.279992	-1.279992
284.7680	-1.270420	-1.270420	-1.270420	-1.270420	-1.270420
286.4134	-1.261491	-1.261491	-1.261491	-1.261491	-1.261491
288.0682	-1.252275	-1.252275	-1.252275	-1.252275	-1.252275
289.7327	-1.242697	-1.242697	-1.242697	-1.242697	-1.242697
291.4067	-1.233080	-1.233080	-1.233080	-1.233080	-1.233080
293.0904	-1.222711	-1.222711	-1.222711	-1.222711	-1.222711
294.7839	-1.212974	-1.212974	-1.212974	-1.212974	-1.212974
296.4871	-1.202970	-1.202970	-1.202970	-1.202970	-1.202970
298.2002	-1.192594	-1.192594	-1.192594	-1.192594	-1.192594
299.9231	-1.182214	-1.182214	-1.182214	-1.182214	-1.182214
301.6561	-1.171846	-1.171846	-1.171846	-1.171846	-1.171846
303.3990	-1.160856	-1.160856	-1.160856	-1.160856	-1.160856
305.1520	-1.150105	-1.150105	-1.150105	-1.150105	-1.150105
306.9151	-1.139511	-1.139511	-1.139511	-1.139511	-1.139511
308.6885	-1.128332	-1.128332	-1.128332	-1.128332	-1.128332
310.4720	-1.117168	-1.117168	-1.117168	-1.117168	-1.117168
312.2659	-1.106002	-1.106002	-1.106002	-1.106002	-1.106002
314.0701	-1.094423	-1.094423	-1.094423	-1.094423	-1.094423
315.8848	-1.082656	-1.082656	-1.082656	-1.082656	-1.082656
317.7100	-1.071471	-1.071471	-1.071471	-1.071471	-1.071471
319.5457	-1.059511	-1.059511	-1.059511	-1.059511	-1.059511
321.3920	-1.047546	-1.047546	-1.047546	-1.047546	-1.047546
323.2489	-1.035578	-1.035578	-1.035578	-1.035578	-1.035578
325.1166	-1.023604	-1.023604	-1.023604	-1.023604	-1.023604
326.9951	-1.011627	-1.011627	-1.011627	-1.011627	-1.011627
328.8845	-0.998874	-0.998874	-0.998874	-0.998874	-0.998874
330.7847	-0.986702	-0.986702	-0.986702	-0.986702	-0.986702
332.6959	-0.974345	-0.974345	-0.974345	-0.974345	-0.974345
334.6182	-0.961573	-0.961573	-0.961573	-0.961573	-0.961573
336.5516	-0.948799	-0.948799	-0.948799	-0.948799	-0.948799
338.4962	-0.936822	-0.936822	-0.936822	-0.936822	-0.936822
340.4520	-0.924278	-0.924278	-0.924278	-0.924278	-0.924278
342.4191	-0.911510	-0.911510	-0.911510	-0.911510	-0.911510
344.3975	-0.898739	-0.898739	-0.898739	-0.898739	-0.898739
346.3874	-0.885965	-0.885965	-0.885965	-0.885965	-0.885965
348.3888	-0.873207	-0.873207	-0.873207	-0.873207	-0.873207
350.4018	-0.859874	-0.859874	-0.859874	-0.859874	-0.859874
352.4263	-0.846677	-0.846677	-0.846677	-0.846677	-0.846677
354.4626	-0.833904	-0.833904	-0.833904	-0.833904	-0.833904
356.5107	-0.821131	-0.821131	-0.821131	-0.821131	-0.821131
358.5705	-0.808373	-0.808373	-0.808373	-0.808373	-0.808373
360.6423	-0.795051	-0.795051	-0.795051	-0.795051	-0.795051
362.7261	-0.781842	-0.781842	-0.781842	-0.781842	-0.781842
364.8219	-0.768914	-0.768914	-0.768914	-0.768914	-0.768914
366.9298	-0.755344	-0.755344	-0.755344	-0.755344	-0.755344
369.0499	-0.741788	-0.741788	-0.741788	-0.741788	-0.741788
371.1822	-0.728775	-0.728775	-0.728775	-0.728775	-0.728775
373.3268	-0.715661	-0.715661	-0.715661	-0.715661	-0.715661
375.4839	-0.701945	-0.701945	-0.701945	-0.701945	-0.701945
377.6534	-0.687578	-0.687578	-0.687578	-0.687578	-0.687578
379.8354	-0.673965	-0.673965	-0.673965	-0.673965	-0.673965
382.0301	-0.660403	-0.660403	-0.660403	-0.660403	-0.660403
384.2374	-0.646501	-0.646501	-0.646501	-0.646501	-0.646501
386.4575	-0.632131	-0.632131	-0.632131	-0.632131	-0.632131
388.6904	-0.617765	-0.617765	-0.617765	-0.617765	-0.617765
390.9362	-0.603411	-0.603411	-0.603411	-0.603411	-0.603411
393.1950	-0.588524	-0.588524	-0.588524	-0.588524	-0.588524
395.4668	-0.573687	-0.573687	-0.573687	-0.573687	-0.573687
397.7518	-0.559193	-0.559193	-0.559193	-0.559193	-0.559193
400.0500	-0.544030	-0.544030	-0.544030	-0.544030	-0.544030
402.3614	-0.528878	-0.528878	-0.528878	-0.528878	-0.528878
404.6862	-0.513204	-0.513204	-0.513204	-0.513204	-0.513204
407.0244	-0.497558	-0.497558	-0.497558	-0.497558	-0.497558
409.3762	-0.482276	-0.482276	-0.482276	-0.482276	-0.482276
411.7415	-0.466316	-0.466316	-0.466316	-0.466316	-0.466316
414.1205	-0.450366	-0.450366	-0.450366	-0.450366	-0.450366
416.5133	-0.434411	-0.434411	-0.434411	-0.434411	-0.434411
418.9198	-0.418450	-0.418450	-0.418450	-0.418450	-0.418450
421.3403	-0.402379	-0.402379	-0.402379	-0.402379	-0.402379
423.7748	-0.385622	-0.385622	-0.385622	-0.385622	-0.385622
426.2233	-0.368875	-0.368875	-0.368875	-0.368875	-0.368875
428.6860	-0.352121	-0.352121	-0.352121	-0.352121	-0.352121
431.1629	-0.335362	-0.335362	-0.335362	-0.335362	-0.335362
433.6541	-0.318596	-0.318596	-0.318596	-0.318596	-0.318596
436.1597	-0.301840	-0.301840	-0.301840	-0.301840	-0.301840
438.6798	-0.284404	-0.284404	-0.284404	-0.284404	-0.284404
441.2144	-0.267339	-0.267339	-0.267339	-0.267339	-0.267339
443.7637	-0.250295	-0.250295	-0.250295	-0.250295	-0.250295
446.3277	-0.232730	-0.232730	-0.232730	-0.232730	-0.232730
448.9065	-0.215178	-0.215178	-0.215178	-0.215178	-0.215178
451.5003	-0.197632	-0.197632	-0.197632	-0.197632	-0.197632
454.1090	-0.180081	-0.180081	-0.180081	-0.180081	-0.180081
456.7328	-0.162522	-0.162522	-0.162522	-0.162522	-0.162522
459.3717	-0.144958	-0.144958	-0.144958	-0.144958	-0.144958
462.0259	-0.127407	-0.127407	-0.127407	-0.127407	-0.127407
464.6955	-0.109193	-0.109193	-0.109193	-0.109193	-0.109193
467.3804	-0.090843	-0.090843	-0.090843	-0.090843	-0.090843
470.0809	-0.072486	-0.072486	-0.072486	-0.072486	-0.072486
472.7970	-0.054123	-0.054123	-0.054123	-0.054123	-0.054123
475.5288	-0.035775	-0.035775	-0.035775	-0.035775	-0.035775
478.2763	-0.017432	-0.017432	-0.017432	-0.017432	-0.017432
481.0397	0.000918	0.000918	0.000918	0.000918	0.000918
483.8191	0.019276	0.019276	0.019276	0.019276	0.019276
486.6146	0.037692	0.037692	0.037692	0.037692	0.037692
489.4262	0.056835	0.056835	0.056835	0.056835	0.056835
492.2540	0.075976	0.075976	0.075976	0.075976	0.075976
495.0982	0.095125	0.095125	0.095125	0.095125	0.095125
497.9589	0.114281	0.114281	0.114281	0.114281	0.114281
500.8360	0.133433	0.133437	0.133445	0.133458	0.133465
503.7298	0.152369	0.152464	0.152607	0.152865	0.153014
506.6403	0.171686	0.171986	0.172431	0.173232	0.173698
509.5676	0.191778	0.192397	0.193321	0.194939	0.195889
512.5118	0.212340	0.213398	0.214969	0.217639	0.219245
515.4731	0.232623	0.234214	0.236617	0.240556	0.242977
518.4514	0.251860	0.254097	0.257416	0.262825	0.266244
521.4470	0.270838	0.273825	0.278268	0.285290	0.289824
524.4598	0.289546	0.293396	0.299056	0.307766	0.313554
527.4901	0.307974	0.312779	0.319529	0.330277	0.337406
530.5379	0.326128	0.332050	0.340156	0.352761	0.361478
533.6033	0.345478	0.352604	0.362417	0.376588	0.387060
536.6864	0.364001	0.372433	0.383814	0.399691	0.411871
539.7873	0.382862	0.392654	0.405780	0.423014	0.437748
542.9061	0.402178	0.413443	0.428375	0.446533	0.463445
546.0430	0.421181	0.433875	0.450842	0.470037	0.488563
549.1980	0.439833	0.454232	0.472358	0.493351	0.513120
552.3712	0.458793	0.474731	0.494080	0.516145	0.537561
555.5627	0.477233	0.494537	0.515625	0.538755	0.561140
558.7727	0.495024	0.513723	0.536706	0.559102	0.584044
562.0012	0.512498	0.532299	0.556381	0.579922	0.607606
565.2484	0.528392	0.550391	0.575657	0.600257	0.628459
568.5143	0.541857	0.566892	0.594022	0.618410	0.647806
571.7992	0.555517	0.580296	0.610982	0.635685	0.665956
575.1029	0.568880	0.594802	0.625503	0.653310	0.684199
578.4258	0.581536	0.608072	0.638701	0.669970	0.698781
581.7679	0.592272	0.618778	0.650943	0.684877	0.713855
585.1293	0.601656	0.629789	0.662405	0.700068	0.728424
588.5101	0.608316	0.637807	0.673906	0.711734	0.744155
591.9105	0.614633	0.645383	0.683134	0.724869	0.761469
595.3305	0.616685	0.651282	0.692952	0.737592	0.776827
598.7702	0.619590	0.655778	0.703447	0.751326	0.792060
602.2298	0.620529	0.659265	0.712973	0.764889	0.807823
605.7095	0.619673	0.663936	0.722188	0.779636	0.823658
609.2092	0.616597	0.668021	0.728265	0.793532	0.840129
612.7291	0.614510	0.672504	0.737031	0.806152	0.856394
616.2694	0.610889	0.673384	0.742961	0.819012	0.873468
619.8302	0.604338	0.675345	0.752480	0.833451	0.890529
623.4115	0.599041	0.676693	0.762676	0.846316	0.907845
627.0135	0.593384	0.677035	0.768254	0.859255	0.924081
630.6363	0.589171	0.675206	0.775231	0.872556	0.938497
634.2800	0.584547	0.676269	0.783412	0.884393	0.953711
637.9448	0.578782	0.675739	0.791555	0.896505	0.968520
641.6308	0.574447	0.677011	0.799376	0.907965	0.983460
645.3381	0.572859	0.679260	0.807620	0.918816	0.999523
649.0668	0.572204	0.680821	0.815362	0.929130	1.015166
652.8170	0.573993	0.685092	0.824482	0.942698	1.030250
656.5889	0.578430	0.691870	0.833663	0.955459	1.045346
660.3826	0.585098	0.700249	0.843001	0.967483	1.061932
664.1982	0.596830	0.710041	0.852265	0.980404	1.078385
668.0359	0.609075	0.722882	0.864907	0.993966	1.094806
671.8957	0.623540	0.738340	0.875859	1.005087	1.112656
675.7779	0.640252	0.756196	0.890422	1.017708	1.128629
679.6825	0.662648	0.773162	0.904793	1.030194	1.144758
683.6096	0.689068	0.791324	0.924337	1.043657	1.162814
687.5594	0.709885	0.811249	0.941978	1.065442	1.187713
691.5321	0.730214	0.831699	0.964427	1.080735	1.210256
695.5276	0.750170	0.855864	0.977492	1.098567	1.229161
699.5463	0.777268	0.876537	0.992853	1.118658	1.248933
703.5882	0.798437	0.898688	1.013234	1.141572	1.272986
707.6535	0.825386	0.923318	1.032824	1.159587	1.300140
711.7422	0.837745	0.942349	1.049684	1.184096	1.318443
715.8546	0.856340	0.966373	1.072639	1.209212	1.345992
719.9907	0.873803	0.985486	1.095344	1.231454	1.372792
724.1508	0.887800	1.008569	1.120560	1.261250	1.399076
728.3348	0.900836	1.025690	1.135426	1.286860	1.427320
732.5431	0.912155	1.037940	1.155312	1.307392	1.458838
736.7756	0.927746	1.053494	1.179963	1.327850	1.486349
741.0326	0.940073	1.064152	1.202939	1.359858	1.513315
745.3142	0.949892	1.077064	1.219871	1.389389	1.543639
749.6206	0.962712	1.093462	1.236575	1.417107	1.575153
753.9518	0.975225	1.100881	1.254920	1.437555	1.604397
758.3081	0.986798	1.106083	1.264795	1.462693	1.633002
762.6895	0.990973	1.116634	1.278952	1.482183	1.657646
767.0962	1.002126	1.127546	1.289732	1.500904	1.678867
771.5284	1.007697	1.132349	1.301039	1.515176	1.692091
775.9862	1.009805	1.139536	1.307311	1.526647	1.708122
780.4698	1.012969	1.144065	1.317029	1.533881	1.722548
784.9793	1.016160	1.147693	1.322435	1.537869	1.726232
789.5148	1.016748	1.152223	1.323490	1.542580	1.731896
794.0765	1.021013	1.154435	1.327602	1.542140	1.737264
798.6646	1.020742	1.155348	1.330009	1.547196	1.743724
803.2792	1.023169	1.157603	1.328318	1.549692	1.742774
807.9205	1.028149	1.159797	1.330683	1.551289	1.737990
812.5885	1.034148	1.159960	1.331023	1.546520	1.731750
817.2836	1.033859	1.158790	1.328126	1.539592	1.726832
822.0058	1.031361	1.159472	1.322301	1.534043	1.714877
826.7552	1.015994	1.160106	1.321196	1.526204	1.713778
831.5321	1.004498	1.159947	1.314942	1.521801	1.710067
836.3366	0.997459	1.163052	1.306393	1.516928	1.700584
841.1689	0.995422	1.158597	1.299285	1.503594	1.698743
846.0291	0.986469	1.154768	1.299100	1.499343	1.693810
850.9173	0.972967	1.151757	1.297108	1.488224	1.686980
855.8339	0.957942	1.146310	1.288832	1.482440	1.686724
860.7788	0.949316	1.133922	1.290121	1.473001	1.674559
865.7523	0.933974	1.119574	1.282764	1.467296	1.663989
870.7545	0.916661	1.117692	1.287179	1.462414	1.657055
875.7856	0.902893	1.112143	1.286543	1.465025	1.650123
880.8458	0.892665	1.115411	1.291110	1.468711	1.644930
885.9352	0.892626	1.110077	1.297656	1.470623	1.639965
891.0541	0.896448	1.112128	1.303604	1.474632	1.643201
896.2025	0.899526	1.116520	1.314205	1.479968	1.647439
901.3806	0.913021	1.126910	1.323999	1.478271	1.648837
906.5887	0.928800	1.141269	1.336171	1.488248	1.648154
911.8269	0.957715	1.157238	1.353542	1.497318	1.649731
917.0953	0.988399	1.180792	1.367983	1.504248	1.644908
922.3942	1.022198	1.205757	1.385157	1.516303	1.650779
927.7237	1.064775	1.233295	1.404833	1.527928	1.652259
933.0840	1.110805	1.265188	1.427799	1.542758	1.656098
938.4752	1.161335	1.301482	1.450208	1.557811	1.663016
943.8977	1.215068	1.340258	1.476954	1.575290	1.670119
949.3514	1.277997	1.383123	1.502870	1.595462	1.678996
954.8366	1.340603	1.426352	1.533514	1.615543	1.688703
960.3536	1.402361	1.475744	1.565889	1.636938	1.700692
965.9024	1.467624	1.525850	1.599933	1.660169	1.714914
971.4833	1.530639	1.579703	1.636165	1.686631	1.731941
977.0964	1.596054	1.633174	1.675852	1.717194	1.754080
982.7420	1.660336	1.688801	1.717837	1.749096	1.776745
988.4201	1.723019	1.740590	1.760224	1.780604	1.798848
994.1311	1.780825	1.789335	1.799173	1.809712	1.818585
1000.0000	1.833821	1.834518	1.836500	1.837123	1.837518
1005.6523	1.853955	1.862702	1.871295	1.880177	1.886667
1011.4628	1.870647	1.888762	1.905371	1.923654	1.936714
1017.3070	1.886675	1.911540	1.937235	1.964328	1.985261
1023.1848	1.900326	1.933002	1.967722	2.002806	2.031911
1029.0967	1.913272	1.953865	1.996170	2.043337	2.079329
1035.0427	1.923404	1.972677	2.022681	2.081621	2.126509
1041.0231	1.931848	1.988203	2.048988	2.117490	2.175630
1047.0380	1.934247	2.002461	2.075020	2.155375	2.221352
1053.0877	1.938076	2.018745	2.097363	2.194962	2.270739
1059.1723	1.945684	2.032179	2.118124	2.233993	2.316768
1065.2921	1.949616	2.045228	2.141782	2.270289	2.366334
1071.4472	1.955325	2.060870	2.164933	2.310371	2.414032
1077.6379	1.958134	2.071688	2.190508	2.347975	2.463140
1083.8644	1.956816	2.080317	2.214193	2.382958	2.510128
1090.1268	1.958665	2.094575	2.235668	2.421249	2.557230
1096.4255	1.963050	2.107245	2.258069	2.458026	2.600773
1102.7605	1.970514	2.120791	2.280461	2.497653	2.641684
1109.1321	1.978020	2.140214	2.304696	2.531141	2.679152
1115.5406	1.994904	2.158686	2.327992	2.564146	2.718800
1121.9861	2.004403	2.182655	2.355537	2.594568	2.756920
1128.4688	2.032780	2.200522	2.382949	2.624283	2.789213
1134.9889	2.051330	2.224798	2.415190	2.658829	2.821304
1141.5468	2.073771	2.248888	2.443208	2.689354	2.851312
1148.1425	2.098166	2.286675	2.475917	2.710510	2.879852
1154.7764	2.118025	2.313490	2.510496	2.731487	2.912314
1161.4485	2.151350	2.342389	2.557233	2.759580	2.940449
1168.1593	2.178937	2.377145	2.587280	2.796114	2.965158
1174.9088	2.204852	2.412031	2.632487	2.829097	3.003568
1181.6973	2.235294	2.438079	2.668906	2.859926	3.030777
1188.5250	2.247843	2.468375	2.702571	2.893801	3.054638
1195.3921	2.265410	2.496046	2.747909	2.938968	3.099350
1202.2990	2.284305	2.531713	2.781494	2.971616	3.158661
1209.2457	2.290868	2.566271	2.817146	3.026413	3.202165
1216.2326	2.300523	2.595881	2.848167	3.065926	3.248507
1223.2599	2.318851	2.620570	2.882144	3.105343	3.305874
