10.000000	0.013
10.072464	0.013
10.145453	0.013
10.218971	0.013
10.293022	0.013
10.367610	0.013
10.442738	0.013
10.518410	0.013
10.594631	0.013
10.671404	0.013
10.748733	0.013
10.826623	0.013
10.905077	0.013
10.984100	0.013
11.063695	0.013
11.143867	0.013
11.224620	0.013
11.305959	0.013
11.387886	0.013
11.470408	0.013
11.553527	0.013
11.637249	0.013
11.721577	0.013
11.806516	0.013
11.892071	0.013
11.978246	0.013
12.065045	0.013
12.152474	0.013
12.240535	0.013
12.329235	0.013
12.418578	0.013
12.508568	0.013
12.599210	0.013
12.690510	0.013
12.782470	0.013
12.875097	0.013
12.968396	0.013
13.062370	0.013
13.157025	0.013
13.252366	0.013
13.348399	0.013
13.445127	0.013
13.542555	0.013
13.640690	0.013
13.739536	0.013
13.839099	0.013
13.939383	0.013
14.040393	0.013
14.142136	0.013
14.244615	0.013
14.347838	0.013
14.451808	0.013
14.556532	0.013
14.662014	0.013
14.768261	0.013
14.875278	0.013
14.983071	0.013
15.091644	0.013
15.201005	0.013
15.311157	0.013
15.422108	0.013
15.533863	0.013
15.646428	0.013
15.759808	0.013
15.874011	0.013
15.989040	0.013
16.104903	0.013
16.221606	0.013
16.339155	0.013
16.457555	0.013
16.576813	0.013
16.696935	0.013
16.817928	0.013
16.939798	0.013
17.062551	0.013
17.186193	0.013
17.310731	0.013
17.436172	0.013
17.562522	0.013
17.689787	0.013
17.817974	0.013
17.947091	0.013
18.077143	0.013
18.208137	0.014
18.340081	0.014
18.472981	0.014
18.606843	0.014
18.741676	0.014
18.877486	0.014
19.014280	0.014
19.152066	0.014
19.290849	0.014
19.430639	0.014
19.571441	0.014
19.713264	0.014
19.856114	0.014
20.000000	0.014
20.144928	0.014
20.290907	0.014
20.437943	0.014
20.586045	0.014
20.735220	0.014
20.885476	0.014
21.036820	0.014
21.189262	0.014
21.342808	0.014
21.497467	0.014
21.653246	0.014
21.810155	0.014
21.968200	0.014
22.127391	0.014
22.287735	0.014
22.449241	0.014
22.611917	0.014
22.775773	0.014
22.940815	0.014
23.107054	0.013
23.274497	0.013
23.443154	0.013
23.613033	0.013
23.784142	0.013
23.956492	0.013
24.130091	0.013
24.304947	0.014
24.481071	0.014
24.658471	0.014
24.837156	0.014
25.017137	0.015
25.198421	0.015
25.381019	0.015
25.564940	0.016
25.750195	0.016
25.936791	0.016
26.124740	0.016
26.314050	0.016
26.504733	0.016
26.696797	0.016
26.890253	0.017
27.085111	0.017
27.281381	0.017
27.479073	0.018
27.678198	0.018
27.878765	0.019
28.080786	0.019
28.284271	0.019
28.489231	0.019
28.695675	0.020
28.903616	0.020
29.113064	0.021
29.324029	0.021
29.536523	0.021
29.750557	0.022
29.966142	0.022
30.183289	0.022
30.402009	0.023
30.622315	0.023
30.844217	0.023
31.067726	0.023
31.292856	0.023
31.519617	0.023
31.748021	0.024
31.978080	0.024
32.209807	0.025
32.443212	0.025
32.678309	0.026
32.915110	0.026
33.153626	0.027
33.393871	0.027
33.635857	0.028
33.879596	0.028
34.125101	0.028
34.372386	0.028
34.621462	0.029
34.872344	0.029
35.125043	0.030
35.379574	0.030
35.635949	0.030
35.894182	0.031
36.154286	0.031
36.416274	0.031
36.680162	0.032
36.945961	0.032
37.213687	0.033
37.483353	0.033
37.754973	0.034
38.028561	0.034
38.304131	0.035
38.581699	0.035
38.861278	0.035
39.142882	0.035
39.426528	0.036
39.712229	0.036
40.000000	0.036
40.289856	0.037
40.581813	0.037
40.875886	0.038
41.172089	0.038
41.470439	0.039
41.770951	0.039
42.073641	0.040
42.378524	0.040
42.685616	0.041
42.994934	0.041
43.306493	0.042
43.620309	0.042
43.936400	0.043
44.254781	0.043
44.575470	0.044
44.898482	0.044
45.223835	0.045
45.551545	0.045
45.881631	0.046
46.214108	0.046
46.548994	0.047
46.886308	0.047
47.226065	0.047
47.568285	0.048
47.912984	0.048
48.260181	0.049
48.609894	0.049
48.962142	0.050
49.316942	0.050
49.674312	0.051
50.034273	0.051
50.396842	0.052
50.762038	0.052
51.129881	0.053
51.500389	0.053
51.873582	0.054
52.249480	0.054
52.628101	0.055
53.009466	0.055
53.393594	0.056
53.780506	0.056
54.170222	0.057
54.562762	0.057
54.958146	0.058
55.356395	0.059
55.757531	0.059
56.161573	0.059
56.568542	0.060
56.978461	0.060
57.391351	0.061
57.807232	0.061
58.226127	0.062
58.648058	0.063
59.073046	0.064
59.501113	0.064
59.932283	0.065
60.366577	0.065
60.804018	0.066
61.244629	0.067
61.688433	0.068
62.135453	0.068
62.585712	0.069
63.039234	0.069
63.496042	0.070
63.956161	0.071
64.419613	0.072
64.886424	0.072
65.356618	0.073
65.830219	0.073
66.307252	0.074
66.787742	0.075
67.271713	0.076
67.759192	0.076
68.250203	0.077
68.744772	0.078
69.242925	0.079
69.744688	0.079
70.250086	0.080
70.759147	0.081
71.271897	0.082
71.788363	0.082
72.308571	0.083
72.832549	0.084
73.360323	0.085
73.891923	0.085
74.427374	0.086
74.966705	0.087
75.509945	0.088
76.057121	0.089
76.608262	0.090
77.163398	0.091
77.722555	0.092
78.285765	0.093
78.853056	0.094
79.424458	0.095
80.000000	0.096
80.579713	0.098
81.163627	0.099
81.751772	0.100
82.344179	0.101
82.940879	0.102
83.541903	0.104
84.147282	0.105
84.757048	0.106
85.371232	0.108
85.989867	0.109
86.612985	0.111
87.240619	0.112
87.872800	0.114
88.509563	0.116
89.150939	0.117
89.796964	0.119
90.447670	0.120
91.103091	0.122
91.763261	0.124
92.428216	0.125
93.097989	0.127
93.772615	0.128
94.452130	0.130
95.136569	0.131
95.825968	0.133
96.520362	0.135
97.219789	0.137
97.924283	0.138
98.633883	0.140
99.348625	0.141
100.068546	0.143
100.793684	0.145
101.524077	0.147
102.259762	0.149
103.000778	0.151
103.747164	0.152
104.498959	0.154
105.256202	0.155
106.018931	0.157
106.787188	0.158
107.561012	0.160
108.340444	0.161
109.125523	0.163
109.916292	0.164
110.712791	0.166
111.515061	0.167
112.323145	0.169
113.137085	0.170
113.956923	0.172
114.782702	0.173
115.614465	0.175
116.452255	0.176
117.296116	0.178
118.146092	0.180
119.002227	0.182
119.864566	0.183
120.733154	0.185
121.608036	0.187
122.489258	0.189
123.376866	0.191
124.270906	0.194
125.171424	0.196
126.078468	0.199
126.992084	0.201
127.912321	0.204
